"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
108.0,1.0641791956130393E-4,4.7913394144753314E-5,,,,1.7196059568900238E-4,1.2486498587463012E-4,4.965131267679933E-5,2.0278069525106837E-5,6.674725087322818E-6
109.0,1.0541554373314941E-4,4.7479841168989745E-5,,,,1.709398216677848E-4,1.2421846257131518E-4,4.942250815117519E-5,2.019087468358306E-5,6.646945975825109E-6
110.0,1.0442931765247062E-4,4.707901258794497E-5,,,,1.6991646178990595E-4,1.2357531651364823E-4,4.91963727386302E-5,2.0104120665686697E-5,6.618413251639331E-6
111.0,1.0345030036122715E-4,4.667823604196786E-5,,,,1.6890114153046828E-4,1.2293527410008195E-4,4.8971779940397805E-5,2.0018314595007455E-5,6.5907656226063186E-6
112.0,1.0247197702244227E-4,4.624301425960051E-5,,,,1.6790064683880912E-4,1.2229806893894636E-4,4.874452670471243E-5,1.9931848981261648E-5,6.563561418796243E-6
113.0,1.0151093602502582E-4,4.5848795403306424E-5,,,,1.668964946643853E-4,1.2166126277292214E-4,4.85198150227511E-5,1.9844860830733568E-5,6.534521347557544E-6
114.0,1.005586950574248E-4,4.5457900936549765E-5,,,,1.6590066340028183E-4,1.2102802322738918E-4,4.829652591704116E-5,1.9758825029533298E-5,6.5065204325702386E-6
115.0,9.960555544439037E-5,4.50363263997426E-5,,,,1.649189294010402E-4,1.2039762440270069E-4,4.8071005692984916E-5,1.9672597267043326E-5,6.479347114237833E-6
116.0,9.867094410698947E-5,4.465084811413579E-5,,,,1.6393581161514443E-4,1.1976950162093676E-4,4.784816093597563E-5,1.9586450015763618E-5,6.450705113193461E-6
117.0,9.774308700753364E-5,4.427006809792534E-5,,,,1.6295874760175337E-4,1.1914482343877852E-4,4.762723231132096E-5,1.9501404065805987E-5,6.423087251210401E-6
118.0,9.68138422475911E-5,4.385588976865972E-5,,,,1.619936638729576E-4,1.1852291463083227E-4,4.740442088125935E-5,1.9416176325493687E-5,6.396245291040542E-6
119.0,9.590502796144186E-5,4.348003376588371E-5,,,,1.6102855184579046E-4,1.1790262422730445E-4,4.7183690219770545E-5,1.933073183834908E-5,6.367837252400531E-6
120.0,9.50012222856251E-5,4.310598733324318E-5,,,,1.6006999739017134E-4,1.1728579841412031E-4,4.6964642941829144E-5,1.9246179501771504E-5,6.340379214515145E-6
121.0,9.409801271337143E-5,4.27015238765261E-5,,,,1.5912460148709962E-4,1.1667163206476624E-4,4.6743005087873966E-5,1.9161127745309212E-5,6.3136203717368605E-6
122.0,9.321332951840017E-5,4.233591053239351E-5,,,,1.5817775394703202E-4,1.1605840653128354E-4,4.6523964113761667E-5,1.9075889331356685E-5,6.285191216824998E-6
123.0,9.23315408822839E-5,4.197149473448211E-5,,,,1.5723687051207795E-4,1.1544901445188183E-4,4.630740509345684E-5,1.899210388838346E-5,6.257980770562461E-6
124.0,9.145321996983328E-5,4.157884562476589E-5,,,,1.563108414099309E-4,1.1484324670286972E-4,4.608911007186629E-5,1.8907903085271824E-5,6.231381570236656E-6
125.0,9.059203345450645E-5,4.122310073563697E-5,,,,1.5538172909450497E-4,1.1423848628319046E-4,4.5872701211641565E-5,1.8823741763948952E-5,6.203419579616499E-6
126.0,8.973276090689203E-5,4.0867164493485856E-5,,,,1.5445866471666225E-4,1.1363725310372505E-4,4.565865673393587E-5,1.8740895053238425E-5,6.176509215294208E-6
127.0,8.887867973313775E-5,4.0484424399581E-5,,,,1.5355091699214716E-4,1.1303913062813781E-4,4.5441915879822674E-5,1.8657201305293467E-5,6.1500125318344336E-6
128.0,8.803940859990585E-5,4.0138209315668863E-5,,,,1.5263902846824595E-4,1.1244168974321853E-4,4.522742587686223E-5,1.8573602933090695E-5,6.122144439898142E-6
